organism_name	taxid	bioproject_accession	bioproject_id	group	subgroup	size_mb	gc	assembly_accession	replicons	wgs	scaffolds	genes	proteins	release_date	modify_date	status	center	biosample_accession
Neurospora sp. CHS-2018a	2304649	PRJNA487060	487060	Fungi	Ascomycetes	52.2218	45.8	GCA_009802535.1	NA	RAKQ01	1170	NA	NA	2019-12-27	2019-12-27	Scaffold	University of California, Berkeley	SAMN09882687
Neurospora sp. CHS-2018a	2304649	PRJNA487060	487060	Fungi	Ascomycetes	53.0857	45.5	GCA_009802265.1	NA	RAKH01	910	NA	NA	2019-12-27	2019-12-27	Scaffold	University of California, Berkeley	SAMN09882696
Neurospora tetraspora	94610	PRJNA487060	487060	Fungi	Ascomycetes	43.5538	48.7	GCA_009802655.1	NA	RAKW01	378	NA	NA	2019-12-27	2019-12-27	Scaffold	University of California, Berkeley	SAMN09882680
Neurospora sp. CHS-2018b	2304650	PRJNA487060	487060	Fungi	Ascomycetes	48.7233	47.2	GCA_009801675.1	NA	RAJF01	562	NA	NA	2019-12-27	2019-12-27	Scaffold	University of California, Berkeley	SAMN09882603
Neurospora cerealis	29881	PRJNA487060	487060	Fungi	Ascomycetes	39.6158	51.4	GCA_009801615.1	NA	RAJE01	316	NA	NA	2019-12-27	2019-12-27	Scaffold	University of California, Berkeley	SAMN09882604
Neurospora sp. CHS-2018c	2304651	PRJNA487060	487060	Fungi	Ascomycetes	56.5409	44.9	GCA_009801285.1	NA	RAKA01	721	NA	NA	2019-12-27	2019-12-27	Scaffold	University of California, Berkeley	SAMN09882703
Saccharomyces cerevisiae x Saccharomyces eubayanus	1684324	PRJNA522928	522928	Fungi	Ascomycetes	19.6547	39.2	GCA_009667125.1	NA	VZXJ01	1178	NA	NA	2019-11-18	2019-11-18	Scaffold	University of Wisconsin-Madison	SAMN10973774
Saccharomyces eubayanus x Saccharomyces uvarum	1911678	PRJNA522928	522928	Fungi	Ascomycetes	12.4641	39.9	GCA_009667385.1	NA	WARU01	526	NA	NA	2019-11-18	2019-11-18	Scaffold	University of Wisconsin-Madison	SAMN12618059
Colletotrichum siamense	690259	PRJNA554995	554995	Fungi	Ascomycetes	55.6231	52.6	GCA_011428115.1	NA	WEZL01	4333	NA	NA	2020-03-18	2020-03-18	Scaffold	University of Agriculture, Faisalabad Pakistan.	SAMN12924921
Larix cajanderi	501393	PRJNA528429	528429	Plants	Land Plants	0.758083	39.8	GCA_007814285.1	NA	VFAJ01	2371	NA	NA	2019-07-15	2019-07-15	Contig	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	SAMN11190901
Alternaria tenuissima	119927	PRJNA360212	360212	Fungi	Ascomycetes	33.9427	51.1	GCA_004154745.1	NA	PDXA01	345	13028	13080	2019-02-11	2019-02-11	Scaffold	NIAB-East Malling Research	SAMN06205221
Saitozyma podzolica	1890683	PRJEB34750	596143	Fungi	Basidiomycetes	58.7581	59.9	GCA_902500945.1	NA	CABVSM01	427	NA	NA	2019-12-16	2019-12-16	Scaffold	UNIVERSITY OF NOTTINGHAM	SAMEA6056384
Parastagonospora avenaria f. sp. tritici	54790	PRJNA476481	476481	Fungi	Ascomycetes	43.4248	46.7	GCA_003502495.1	NA	QVWV01	12495	NA	NA	2018-09-07	2018-09-07	Scaffold	Centre for Crop & Disease Management, Curtin University	SAMN09435538
Harmonia axyridis	115357	PRJNA437351	437351	Animals	Insects	10.4406	32.4	GCA_009805905.1	NA	QCWK01	95	NA	NA	2019-12-27	2019-12-27	Scaffold	State Key Laboratory of Genetic Engineering,Fudan University	SAMN08660877
Bos indicus x Bos taurus	30522	PRJNA604827	604827	Animals	Mammals	2737.28	42	GCA_012070475.1	NA	JAAIXV01	684	NA	NA	2020-04-06	2020-04-06	Scaffold	PacBio	SAMN08473802
Solanum verrucosum	315347	PRJEB21124	472503	Plants	Land Plants	716.55	35.1	GCA_900185305.1	NA	FXZW01	4814	NA	NA	2018-05-23	2018-05-23	Scaffold	Earlham Institute	SAMEA104077226
Clarireedia homoeocarpa	1436886	PRJNA288037	288037	Fungi	Ascomycetes	36.1844	46.1	GCA_002242955.1	NA	LLKG01	3610	NA	NA	2017-08-07	2017-08-07	Scaffold	Rutgers University	SAMN03792989
Elsinoe australis	40998	PRJNA419078	419078	Fungi	Ascomycetes	26.6264	50.7	GCA_005382405.1	NA	PTQR01	484	9655	9593	2019-05-15	2019-05-15	Scaffold	Charles Sturt University	SAMN08323602
Rhizopogon rudus	181343	PRJNA436024	436024	Fungi	Basidiomycetes	36.3941	NA	GCA_002995335.1	NA	PVYO01	16335	NA	NA	2018-03-13	2018-03-13	Scaffold	Oregon State University	SAMN08611233
Solanum americanum	109975	PRJEB21472	395328	Plants	Land Plants	9.83576	36.8	GCA_900188835.1	NA	FYHH01	1483	NA	NA	2017-07-21	2017-07-21	Contig	Earlham Institute	SAMEA50404918
Blastomyces percursus	1658174	PRJNA450721	450721	Fungi	Ascomycetes	32.5304	47.4	GCA_003206275.1	NA	QGQO01	5053	NA	NA	2018-06-11	2018-06-11	Scaffold	National Institute for Communicable Diseases	SAMN08919238
Venturia inaequalis	5025	PRJNA261633	261633	Fungi	Ascomycetes	60.9394	42.6	GCA_002148305.1	NA	JRPW01	1413	NA	NA	2016-10-31	2017-05-17	Scaffold	Venturia comparative genomics consortium	SAMN03080669
Calonectria pseudonaviculata	196064	PRJNA418988	418988	Fungi	Ascomycetes	47.2722	50.1	GCA_004381005.1	NA	PHMX01	5830	NA	NA	2019-03-26	2019-03-26	Scaffold	USDA-ARS	SAMN08040277
Plasmodium ovale curtisi	864141	PRJEB12678	317845	Protists	Apicomplexans	34.5187	28.4	GCA_900088555.1	NA	FLQV01	4025	7928	7776	2016-06-16	2016-06-16	Scaffold	KAUST	SAMEA3867549
Cryptococcus gattii VGII CBS 10090	1296101	PRJNA191323	191323	Fungi	Basidiomycetes	17.4787	47.8	GCA_000835765.1	NA	AVEY01	24	6632	6485	2015-02-10	2015-02-17	Scaffold	Broad Institute	SAMN01932838
Cryptococcus gattii VGI	37769	PRJEB5464	239986	Fungi	Basidiomycetes	17.2566	47.8	GCA_000786445.1	NA	CBZL01	779	NA	NA	2014-03-04	2015-10-27	Scaffold	CRG	SAMEA3146310
Heliconius pardalinus ssp. n. KMK-2015	1608919	PRJEB8011	288364	Animals	Insects	361.53	32	GCA_900068745.1	NA	FASY01	394788	NA	NA	2015-11-29	2015-11-29	Scaffold	CAM	SAMEA3670569
Heliconius elevatus	33444	PRJEB8011	288364	Animals	Insects	349.545	32	GCA_900067965.1	NA	FAQP01	381087	NA	NA	2015-11-29	2015-11-29	Scaffold	CAM	SAMEA1322899
Purpureocillium lilacinum	33203	PRJNA471744	471744	Fungi	Ascomycetes	35.6887	59.2	GCA_004026455.1	NA	SCGX01	318	NA	NA	2019-01-16	2019-01-16	Scaffold	Jill Banfield's Lab at Berkeley	SAMN09217379
Aspergillus lentulus	293939	PRJDB8156	531112	Fungi	Ascomycetes	30.7532	49.5	GCA_010724915.1	NA	BLKL01	809	10526	10326	2020-02-04	2020-02-05	Scaffold	Medical Mycology Research Center	SAMD00166947
[Candida] boidinii	5477	PRJNA299882	299882	Fungi	Ascomycetes	19.1119	30.7	GCA_001442605.1	NA	LMZO01	428	NA	NA	2015-11-12	2016-03-17	Scaffold	University of Campinas	SAMN04216991
Wallemia mellicola	1708541	PRJNA527769	527769	Fungi	Basidiomycetes	9.68717	40	GCA_004918925.1	NA	SPRP01	202	4261	4261	2019-04-26	2019-04-26	Contig	Biotechnical Faculty, University of Ljubljana	SAMN11175851
Malassezia furfur	55194	PRJNA286710	286710	Fungi	Basidiomycetes	14.3479	64.3	GCA_001264895.1	NA	LFGH01	3453	NA	NA	2015-08-11	2015-08-11	Scaffold	Genome Institute of Singapore	SAMN03774901
Aspergillus udagawae	91492	PRJDB8156	531112	Fungi	Ascomycetes	31.2229	50.2	GCA_010724795.1	NA	BLKK01	2364	10181	10034	2020-02-04	2020-02-05	Scaffold	Medical Mycology Research Center	SAMD00166946
[Candida] auris	498019	PRJNA535510	535510	Fungi	Ascomycetes	12.366	45.2	GCA_002759435.2	NA	PEKT02	15	5586	5419	2017-11-07	2019-08-12	Scaffold	NCBI	SAMN05379624
Plasmodiophora brassicae	37360	PRJNA515478	515478	Protists	Other Protists	24.0663	58.3	GCA_009726545.1	NA	SGEF01	165	NA	NA	2019-12-02	2019-12-02	Scaffold	University of Guelph	SAMN10755749
Exophiala spinifera	91928	PRJNA600036	600036	Fungi	Ascomycetes	32.5893	51.8	GCA_010883305.1	NA	JAAAJF01	117	NA	NA	2020-02-20	2020-02-20	Scaffold	Research Center for Medical Mycology - Peking University First Hospital	SAMN13781150
Cyclospora cayetanensis	88456	PRJNA437975	437975	Protists	Apicomplexans	44.3949	51.9	GCA_003945065.1	NA	RDRN01	812	NA	NA	2018-12-13	2018-12-13	Scaffold	Center for Disease Control and Prevention	SAMN10261097
Pythium insidiosum	114742	PRJDB4251	359234	Protists	Other Protists	35.5613	57	GCA_001950835.1	NA	BCFO01	11223	NA	NA	2016-12-27	2017-09-02	Scaffold	System Biology and Bioinformatics, System Biology and Bioinformatics, King Mongkut's University of Technology Thonburi	SAMD00042004
Meyerozyma caribbica	66948	PRJEB22044	412833	Fungi	Ascomycetes	11.0405	47.3	GCA_900232065.1	NA	OCTI01	144	NA	NA	2017-10-04	2017-10-04	Contig	UNIMI	SAMEA104192523
Heliconius hecale felix	1109109	PRJEB8011	288364	Animals	Insects	15.1617	31.6	GCA_001486125.1	NA	FAPF01	35022	NA	NA	2015-11-29	2015-11-29	Scaffold	CAM	SAMEA1322925
Phytophthora fragariae	53985	PRJNA396163	396163	Protists	Other Protists	78.3711	53.3	GCA_009733065.1	NA	QXFZ01	12212	33061	33857	2019-12-05	2019-12-05	Scaffold	NIAB EMR	SAMN07449685
Chlorella sorokiniana	3076	PRJNA503387	503387	Plants	Green Algae	58.6868	62.6462	GCA_006782965.1	chloroplast Pltd:CM017271.1	RRZN01	1242	NA	NA	2019-07-09	2019-07-12	Scaffold	BGI	SAMN10373491
Corynespora cassiicola	59586	PRJNA428435	428435	Fungi	Ascomycetes	41.7806	51.8	GCA_002975655.1	NA	PORJ01	4912	NA	NA	2018-03-07	2018-03-07	Contig	Universite Clermont Auvergne (UCA)	SAMN08330707
Albugo candida	65357	PRJNA291032	291032	Protists	Other Protists	32.2149	43.1	GCA_001306775.1	NA	LGTN01	7259	NA	NA	2015-10-05	2015-10-05	Contig	The Sainsbury Laboratory	SAMN03938710
Komagataella phaffii	460519	PRJEB23195	451142	Fungi	Ascomycetes	9.35751	40.9	GCA_900234805.1	NA	OCZY01	33	NA	NA	2018-04-21	2018-04-21	Scaffold	CEBITEC	SAMEA104359219
Penicillium oxalicum JU-A10-T	933390	PRJNA60881	60881	Fungi	Ascomycetes	30.6855	50.6	GCA_000383025.1	NA	AGII01	24	NA	NA	2013-04-10	2014-08-11	Scaffold	State Key Laboratory of Microbial Technology, Shandong University	SAMN02981375
Rhizophagus irregularis	588596	PRJNA299202	299202	Fungi	Other Fungi	125.354	25.9	GCA_001593125.1	NA	LLXH01	11196	26582	26476	2016-03-16	2018-12-13	Scaffold	University of Ottawa	SAMN04195188
Neurospora discreta	29879	PRJNA487060	487060	Fungi	Ascomycetes	48.256100000000004	44.8	GCA_009802305.1	NA	RAKJ01	1092	NA	NA	2019-12-27	2019-12-27	Scaffold	University of California, Berkeley	SAMN09882694
Rhizopus delemar	936053	PRJNA475137	475137	Fungi	Other Fungi	42.6409	34.4	GCA_011763855.1	NA	JAANJA01	12037	NA	NA	2020-03-27	2020-03-27	Scaffold	J Craig Venter Institute	SAMN14162331
Colletotrichum gloeosporioides	474922	PRJNA377876	377876	Fungi	Ascomycetes	57.6035	53.2	GCA_002189585.1	NA	MWUF01	1564	NA	NA	2017-06-09	2017-06-09	Scaffold	Qingdao Agricultural University	SAMN06473425
Rhizopogon vinicolor	80600	PRJNA436024	436024	Fungi	Basidiomycetes	35.1543	48.1	GCA_002995375.1	NA	PVYQ01	10228	NA	NA	2018-03-13	2018-03-13	Scaffold	Oregon State University	SAMN08611231
Wallemia ichthyophaga	245174	PRJNA527765	527765	Fungi	Basidiomycetes	9.50801	45.4	GCA_004918735.1	NA	SPON01	201	4107	4107	2019-04-26	2019-04-26	Contig	Biotechnical Faculty, University of Ljubljana	SAMN11175818
Malassezia sympodialis	76777	PRJEB13283	360710	Fungi	Basidiomycetes	7.72904	59.0618	GCA_900149175.1	chromosome 1:LT671805.1; chromosome 2:LT671806.1; chromosome 3:LT671807.1; chromosome 4:LT671808.1; chromosome 5:LT671809.1; chromosome 6:LT671810.1; chromosome 7:LT671811.1; chromosome 8:LT671812.1	NA	8	NA	NA	2017-01-09	2017-01-10	Complete Genome	SCIENCE FOR LIFE LABORATORY	SAMEA3928477
Microbotryum lychnidis-dioicae	288795	PRJEB11006	328110	Fungi	Basidiomycetes	33.4626	51.9	GCA_900010185.1	NA	CZCL01	5445	NA	NA	2016-07-08	2016-07-08	Scaffold	INRA-LIPM	SAMEA3578347
Hanseniaspora uvarum	29833	PRJNA305659	305659	Fungi	Ascomycetes	8.82714	31.7	GCA_002894425.1	NA	LPNJ01	78	NA	NA	2018-01-22	2018-01-22	Contig	The Australian Wine Research Institute	SAMN04331417
Aphanomyces astaci	112090	PRJNA484796	484796	Protists	Other Protists	53.7012	49.8	GCA_003546565.1	NA	QUSZ01	12027	14410	14410	2018-09-11	2018-09-11	Contig	University of Exeter	SAMN09769276
Colletotrichum capsici	5456	PRJNA594831	594831	Fungi	Other Fungi	44.1463	49.7	GCA_011947275.1	NA	JAATLN01	60	NA	NA	2020-04-03	2020-04-03	Scaffold	KLEF Deemed to be University	SAMN13531420
Saccharomyces sp. EDRL	1343043	PRJNA207020	207020	Fungi	Ascomycetes	11.4695	38.2	GCA_000442675.2	NA	ATCS02	74	NA	NA	2013-08-01	2016-02-02	Contig	Institute of Microbial Technology	SAMN02438264
Rhizopus microsporus	58291	PRJNA475137	475137	Fungi	Other Fungi	25.4052	37.2	GCA_011762625.1	NA	JAANIL01	3625	NA	NA	2020-03-27	2020-03-27	Scaffold	J Craig Venter Institute	SAMN14162357
Phytophthora kernoviae 00629/1	1284356	PRJNA184369	184369	Protists	Other Protists	42.9896	49.7	GCA_000333095.2	NA	AOFJ02	2305	NA	NA	2013-01-24	2015-12-23	Scaffold	University of Exeter	SAMN02981497
Heliconius timareta	101932	PRJEB8011	288364	Animals	Insects	7.57763	32.3	GCA_001486305.1	NA	FATN01	13172	NA	NA	2015-11-29	2015-11-29	Scaffold	CAM	SAMEA1094491
Zymoseptoria pseudotritici	1173715	PRJNA274679	274679	Fungi	Ascomycetes	36.7981	52.1	GCA_000983605.1	NA	JYJD01	3380	NA	NA	2015-04-30	2015-04-30	Scaffold	Max Planck Institute for Evolutionary Biology	SAMN03333222
Pichia kudriavzevii	4909	PRJNA353174	353174	Fungi	Ascomycetes	11.6791	38.5	GCA_001983325.1	NA	MQVM01	260	5470	5470	2017-02-02	2017-02-02	Scaffold	WUR	SAMN06011374
Larix gmelinii	123599	PRJNA528429	528429	Plants	Land Plants	0.772096	40.7	GCA_007814745.1	NA	VFAU01	2066	NA	NA	2019-07-15	2019-07-15	Contig	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	SAMN11190890
Saccharomyces uvarum CLIB 533	659244	PRJNA1441	1441	Fungi	Ascomycetes	11.4775	40.2	GCA_000166995.1	NA	AACA01	1098	NA	NA	2003-03-28	2014-08-06	Contig	Broad Institute	SAMN02953586
Phytophthora capsici	4784	PRJNA505815	505815	Protists	Other Protists	52.1982	49.9	GCA_004137975.1	NA	RQEL01	11832	NA	NA	2019-02-05	2019-02-05	Scaffold	University of Florida	SAMN10441517
Mustela putorius	9668	PRJEB34123	572965	Animals	Mammals	2941.57	39.4	GCA_902460225.1	NA	CABPTD01	927316	NA	NA	2019-08-27	2019-08-27	Scaffold	EI	SAMEA5818864
Caenorhabditis sp. 39 LS-2015	1737336	PRJEB12602	310589	Animals	Roundworms	91.4165	41.9	GCA_900536345.3	NA	UNPJ02	21203	NA	NA	2018-08-29	2019-04-09	Scaffold	BANG	SAMEA4843591
Blastocystis sp. subtype 9	1544353	PRJNA275581	275581	Protists	Other Protists	11.7149	43	GCA_000963465.1	NA	JZRO01	871	NA	NA	2015-03-25	2015-03-25	Scaffold	Statens Serum Institut	SAMN03350151
Plasmodium vinckei petteri	138298	PRJNA163125	163125	Protists	Apicomplexans	18.9315	23.5	GCA_000524515.1	NA	AMYN01	66	NA	NA	2014-01-27	2014-01-31	Scaffold	Broad Institute	SAMN00974096
Aureobasidium pullulans AY4	1213350	PRJNA171022	171022	Fungi	Ascomycetes	26.7227	49.8	GCA_000294735.1	NA	AMCU01	515	NA	NA	2012-09-06	2014-08-11	Contig	Universiti Teknologi Malaysia	SAMN02981451
Triticum dicoccoides	85692	PRJEB25714	472928	Plants	Land Plants	552.916	44.8	GCA_900323695.1	NA	OOHG01	360242	NA	NA	2018-05-26	2018-05-26	Scaffold	Hikmet Budak	SAMEA104717682
Rhodotorula toruloides	5286	PRJDB3691	313852	Fungi	Basidiomycetes	20.3214	61.6	GCA_001600215.1	NA	BCJE01	38	NA	NA	2016-03-01	2016-03-01	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies	SAMD00028412
Nannochloropsis oceanica	145522	PRJNA60795	60795	Protists	Other Protists	27.6399	53.5	GCA_000226695.1	NA	AEUM01	5851	NA	NA	2011-09-29	2014-08-11	Contig	College of Marine Life Sciences, Ocean University of China	SAMN02981301
Fusarium fujikuroi	5127	PRJEB14872	412609	Fungi	Ascomycetes	44.9756	47.5	GCA_900096635.1	NA	FMJW01	28	16244	15904	2017-10-03	2017-10-03	Scaffold	Technische Universitat Munchen - WZW	SAMEA4440733
Pyricularia grisea W97-11	1264588	PRJNA181181	181181	Fungi	Ascomycetes	47.5896	48.7	GCA_002871045.1	NA	ANKU01	113	NA	NA	2018-01-08	2018-01-10	Scaffold	Seoul National University	SAMN02820314
Hortaea werneckii	91943	PRJNA428320	428320	Fungi	Ascomycetes	48.1434	53.3	GCA_003704585.1	NA	QWIP01	2042	16160	16160	2018-10-31	2018-10-31	Contig	Biotechnical Faculty, University of Ljubljana	SAMN08295407
Raphanus sativus	3726	PRJDB9233	605524	Plants	Land Plants	768.106	36.2	GCA_010725405.1	NA	BLLE01	3810	NA	NA	2020-02-07	2020-02-07	Contig	Kazusa DNA Research Institute	SAMD00201348
Macrophomina phaseolina	35725	PRJNA291857	291857	Fungi	Ascomycetes	45.5875	51.3	GCA_001307885.1	NA	LHTN01	3606	NA	NA	2015-10-07	2015-10-07	Scaffold	University of Illinois	SAMN03956192
Brettanomyces bruxellensis CBS 2499	747657	PRJNA76499	76499	Fungi	Ascomycetes	13.3559	40.3	GCA_000340765.1	NA	AHMD01	63	NA	NA	2013-02-15	2014-08-04	Scaffold	JGI	SAMN00750237
Dothistroma septosporum	64363	PRJNA381823	381823	Fungi	Ascomycetes	30.8503	52.7	GCA_002236485.2	NA	NBZT02	234	NA	NA	2017-07-28	2019-04-09	Scaffold	Massey University	SAMN06689756
Trichinella pseudospiralis	6337	PRJNA257433	257433	Animals	Roundworms	46.055	32.6	GCA_001447445.1	NA	JYDU01	1379	11005	16075	2015-11-24	2016-03-08	Scaffold	University of Melbourne	SAMN02949470
Saccharomyces cerevisiae x Saccharomyces kudriavzevii	332112	PRJNA522928	522928	Fungi	Ascomycetes	18.1289	38.7	GCA_009666265.1	NA	VZWB01	1413	NA	NA	2019-11-18	2019-11-18	Scaffold	University of Wisconsin-Madison	SAMN10973895
Spraguea lophii	51541	PRJNA269798	269798	Fungi	Other Fungi	7.72944	23	GCA_011076975.1	NA	JAABPN01	3823	NA	NA	2020-03-09	2020-03-09	Contig	Newcastle University	SAMN03257633
Tolypocladium inflatum	29910	PRJNA448735	448735	Fungi	Ascomycetes	31.1687	57.9	GCA_003945665.1	NA	QEPI01	20	NA	NA	2018-12-14	2018-12-14	Contig	University of Minnesota	SAMN08824656
Phytophthora parasitica	4792	PRJNA205154	205154	Protists	Other Protists	48.0752	49.6	GCA_000509465.1	NA	AVGB01	6489	22048	26824	2013-12-16	2014-08-04	Scaffold	Broad Institute	SAMN02178347
Babesia microti	5868	PRJNA157391	157391	Protists	Apicomplexans	6.43801	36.4	GCA_001650135.1	NA	JGUX01	131	NA	NA	2016-05-23	2016-05-23	Contig	IGS	SAMN02203533
Cannabis sativa	3483	PRJNA73819	73819	Plants	Land Plants	1009.67	34.1395	GCA_003417725.2	chromosome 1:CM011605.1; chromosome 2:CM011606.1; chromosome 3:CM011607.1; chromosome 4:CM011608.1; chromosome 5:CM011609.1; chromosome 6:CM011610.1; chromosome 7:CM011611.1; chromosome 8:CM011612.1; chromosome 9:CM011613.1; chromosome 10:CM011614.1	QKVJ02	5303	NA	NA	2018-08-22	2018-11-26	Chromosome	University of Toronto	SAMN09375800
Rhizoctonia solani AG-8 WAC10335	1287689	PRJNA187548	187548	Fungi	Basidiomycetes	39.8229	48.7	GCA_000695385.1	NA	AVOZ01	857	NA	NA	2014-05-21	2014-05-23	Scaffold	Commonwealth Scientific and Industrial Research Organisation	SAMN02795944
Penicillium expansum YT02	858480	PRJNA50009	50009	Fungi	Ascomycetes	31.252	49.8	GCA_002072455.1	NA	JARG01	52	NA	NA	2017-03-24	2017-03-24	Scaffold	University of Oklahoma	SAMN03276233
Alternaria alternata	5599	PRJNA580035	580035	Fungi	Ascomycetes	33.8	50.8	GCA_011420255.1	NA	WIRD01	18	NA	NA	2020-03-18	2020-03-18	Scaffold	National Institute of Biological Resources	SAMN13150886
Capsicum annuum	4072	PRJNA223222	223222	Plants	Land Plants	2882.42	34.4	GCA_011745865.1	NA	VYZZ01	44704	36854	36854	2020-03-25	2020-03-25	Scaffold	Seoul National University	SAMN12612367
Kluyveromyces marxianus	4911	PRJDB2926	254125	Fungi	Ascomycetes	11.1654	40.1	GCA_000747785.1	NA	BBIL01	36	NA	NA	2014-06-30	2014-08-23	Contig	National Institute of Advanced Industrial Science and Technology	SAMD00017758
Lentinula edodes	5353	PRJDB4944	371347	Fungi	Basidiomycetes	39.9229	44.7	GCA_002003045.1	NA	BDGU01	1951	12051	12051	2017-02-02	2017-02-03	Scaffold	Iwate Biotechnology Research Center	SAMD00054105
Heliconius melpomene melpomene	171917	PRJEB8011	288364	Animals	Insects	312.422	32.2	GCA_900068025.1	NA	FARU01	287291	NA	NA	2015-11-29	2015-11-29	Scaffold	CAM	SAMEA1919255
Heliconius cydno alithea	249251	PRJEB8011	288364	Animals	Insects	185.102	35.2	GCA_900068255.1	NA	FAQK01	329359	NA	NA	2015-11-29	2015-11-29	Scaffold	CAM	SAMEA3670510
Arthrobotrys oligospora	13349	PRJNA526706	526706	Fungi	Ascomycetes	39.4534	44.2	GCA_011066795.1	NA	WIWR01	305	12096	13850	2020-03-06	2020-03-06	Scaffold	Academia Sinica	SAMN11107079
Cucumis melo var. makuwa	1194695	PRJNA531576	531576	Plants	Land Plants	347.184	31.6	GCA_005549225.1	NA	SSTD01	20255	36235	36235	2019-05-21	2019-08-27	Scaffold	Korea Research Institute of Bioscience and Biotechnology (KRIBB)	SAMN11370205
Tilletia indica	43049	PRJNA314779	314779	Fungi	Basidiomycetes	28.9533	54.9	GCA_001645015.2	NA	LWDF02	3113	9664	9664	2016-05-16	2019-10-30	Scaffold	Agriculture and Agri-Food Canada	SAMN04543134
Scleropages formosus	113540	PRJNA232741	232741	Animals	Fishes	708.403	43.2	GCA_001005745.2	NA	JARO02	42110	24736	24274	2015-05-08	2015-10-13	Scaffold	Monash University Malaysia	SAMN02592717
Leishmania donovani	5661	PRJNA192928	192928	Protists	Kinetoplasts	32.4149	59.0361	GCA_000470725.1	chromosome 1:CM002141.1; chromosome 2:CM002142.1; chromosome 3:CM002143.1; chromosome 4:CM002144.1; chromosome 5:CM002145.1; chromosome 6:CM002146.1; chromosome 7:CM002147.1; chromosome 8:CM002148.1; chromosome 9:CM002149.1; chromosome 10:CM002150.1; chromosome 11:CM002151.1; chromosome 12:CM002152.1; chromosome 13:CM002153.1; chromosome 14:CM002154.1; chromosome 15:CM002155.1; chromosome 16:CM002156.1; chromosome 17:CM002157.1; chromosome 18:CM002158.1; chromosome 19:CM002159.1; chromosome 20:CM002160.1; chromosome 21:CM002161.1; chromosome 22:CM002162.1; chromosome 23:CM002163.1; chromosome 24:CM002164.1; chromosome 25:CM002165.1; chromosome 26:CM002166.1; chromosome 27:CM002167.1; chromosome 28:CM002168.1; chromosome 29:CM002169.1; chromosome 30:CM002170.1; chromosome 31:CM002171.1; chromosome 32:CM002172.1; chromosome 33:CM002173.1; chromosome 34:CM002174.1; chromosome 35:CM002175.1; chromosome 36:CM002176.1	AVPQ01	36	NA	NA	2013-09-12	2013-11-06	Chromosome	CSIR Central Drug Research Institute Lucknow	SAMN01974509
Mustela putorius furo	9669	PRJNA580247	580247	Animals	Mammals	2459.03	41.5	GCA_009859245.1	NA	WQNC01	860	NA	NA	2020-01-13	2020-01-13	Contig	JCVI	SAMN13175631
Bipolaris sorokiniana	45130	PRJNA489551	489551	Fungi	Ascomycetes	37.3775	49.4	GCA_004329375.1	NA	RCTM01	43	NA	NA	2019-03-06	2019-03-06	Contig	ICAR-Indian Agricultural Research Institute	SAMN09901300
Pyrenophora teres f. teres	97479	PRJNA434142	434142	Fungi	Ascomycetes	51.2662	45.6381	GCA_008086785.1	mitochondrion MT:CM017846.1	VBVM01	145	NA	NA	2019-08-26	2019-08-28	Contig	NDSU	SAMN09393900
Exophiala dermatitidis	5970	PRJNA599081	599081	Fungi	Ascomycetes	29.6759	51.0779	GCA_010883275.1	mitochondrion MT:CM021337.1	WXYG01	2094	NA	NA	2020-02-20	2020-02-21	Scaffold	Research Center for Medical Mycology - Peking University First Hospital	SAMN13738712
Microbotryum violaceum	5272	PRJEB12080	358699	Fungi	Basidiomycetes	25.8066	56.1	GCA_900015505.1	NA	FBUG01	42	NA	NA	2016-12-23	2016-12-23	Contig	INRA-LIPM	SAMEA3706528
Puccinia striiformis f. sp. tritici	168172	PRJNA595754	595754	Fungi	Basidiomycetes	52.1262	44.4	GCA_011750625.1	NA	WXWY01	1176	NA	NA	2020-03-25	2020-03-25	Contig	Australian National University	SAMN12098061
Trichoderma harzianum	5544	PRJNA397414	397414	Fungi	Ascomycetes	40.865	47.7	GCA_002838845.1	NA	NQLC01	2281	13925	13925	2017-12-13	2017-12-13	Contig	UnB	SAMN07456232
Fusarium proliferatum	948311	PRJNA329597	329597	Fungi	Ascomycetes	44.2053	48.2	GCA_001705295.1	NA	MBPS01	237	NA	NA	2016-08-15	2017-08-09	Scaffold	Fundacion MEDINA	SAMN05415260
Gorilla gorilla	9593	PRJNA18247	18247	Animals	Mammals	3.0229	41	GCA_000167515.2	NA	AAGL01	4856	NA	NA	2006-11-09	2014-08-11	Contig	Institute of Molecular Biotechnology, Genome Analysis, Germany, Jena	SAMN02981220
Puccinia triticina Race 77	1435980	PRJNA277090	277090	Fungi	Basidiomycetes	95.1131	46.7	GCA_001707345.1	NA	LACZ01	50016	NA	NA	2016-08-17	2016-08-17	Contig	National Research Centre on Plant Biotechnology	SAMN03384291
Candida parapsilosis	5480	PRJNA543692	543692	Fungi	Ascomycetes	12.9046	38.7	GCA_008764215.1	NA	VTQU01	423	NA	NA	2019-10-01	2019-10-01	Scaffold	BGI	SAMN11792395
Beauveria bassiana	176275	PRJNA378127	378127	Fungi	Ascomycetes	34.5603	49.3	GCA_002224115.1	NA	MWYT01	35	NA	NA	2017-07-24	2017-07-24	Contig	National Center for Genetic Engineering and Biotechnology (BIOTEC)	SAMN06480073
